date,views
2019-08-29,697
2019-08-30,4150
2019-08-31,7637
2019-09-01,489
2019-09-02,9360
2019-09-03,6531
2019-09-04,4228
2019-09-05,2505
2019-09-06,4192
2019-09-07,4701
2019-09-08,4148
2019-09-09,9603
2019-09-10,9324
2019-09-11,1819
2019-09-12,3750
2019-09-13,4313
2019-09-14,8267
2019-09-15,6302
2019-09-16,4606
2019-09-17,4509
2019-09-18,8173
2019-09-19,5058
2019-09-20,8488
2019-09-21,1149
2019-09-22,7697
2019-09-23,1880
2019-09-24,1962
2019-09-25,6599
2019-09-26,5673
2019-09-27,8414
2019-09-28,7577
2019-09-29,904
2019-09-30,2918
2019-10-01,5792
2019-10-02,4675
2019-10-03,4053
2019-10-04,4131
2019-10-05,4438
2019-10-06,7103
2019-10-07,4785
2019-10-08,3513
2019-10-09,6244
2019-10-10,2620
2019-10-11,1307
2019-10-12,966
2019-10-13,7058
2019-10-14,9391
2019-10-15,2231
2019-10-16,6666
2019-10-17,8075
2019-10-18,6305
2019-10-19,9394
2019-10-20,1008
2019-10-21,7638
2019-10-22,6831
2019-10-23,8908
2019-10-24,9524
2019-10-25,9070
2019-10-26,5897
2019-10-27,4488
2019-10-28,5105
2019-10-29,5280
2019-10-30,7278
2019-10-31,7726
2019-11-01,6286
2019-11-02,9531
2019-11-03,2580
2019-11-04,8829
2019-11-05,7717
2019-11-06,9489
2019-11-07,9545
2019-11-08,7137
2019-11-09,4883
2019-11-10,8614
2019-11-11,2712
2019-11-12,6834
2019-11-13,7306
2019-11-14,4811
2019-11-15,7280
2019-11-16,1362
2019-11-17,6932
2019-11-18,5421
2019-11-19,2171
2019-11-20,1474
2019-11-21,1547
2019-11-22,7833
2019-11-23,3002
2019-11-24,8747
2019-11-25,3229
2019-11-26,6573
2019-11-27,364
2019-11-28,3340
2019-11-29,5853
2019-11-30,4511
2019-12-01,6345
2019-12-02,4054
2019-12-03,7293
2019-12-04,2819
2019-12-05,1536
2019-12-06,8558
2019-12-07,8327
2019-12-08,8341
2019-12-09,2287
2019-12-10,7580
2019-12-11,2920
2019-12-12,9043
2019-12-13,5540
2019-12-14,1783
2019-12-15,764
2019-12-16,9854
2019-12-17,1647
2019-12-18,9545
2019-12-19,6404
2019-12-20,5902
2019-12-21,9641
2019-12-22,1222
2019-12-23,3385
2019-12-24,8670
2019-12-25,9160
2019-12-26,2992
2019-12-27,2564
2019-12-28,1248
2019-12-29,5267
2019-12-30,9744
2019-12-31,1391
2020-01-01,3656
2020-01-02,5808
2020-01-03,9705
2020-01-04,8349
2020-01-05,4302
2020-01-06,1476
2020-01-07,1395
2020-01-08,6682
2020-01-09,8012
2020-01-10,4217
2020-01-11,5771
2020-01-12,1239
2020-01-13,5071
2020-01-14,3942
2020-01-15,5300
2020-01-16,9452
2020-01-17,6607
2020-01-18,7939
2020-01-19,5294
2020-01-20,3761
2020-01-21,6481
2020-01-22,1929
2020-01-23,6898
2020-01-24,175
2020-01-25,5115
2020-01-26,4008
2020-01-27,3417
2020-01-28,93
2020-01-29,3983
2020-01-30,1537
2020-01-31,9790
2020-02-01,6024
2020-02-02,3625
2020-02-03,8163
2020-02-04,2299
2020-02-05,663
2020-02-06,4245
2020-02-07,4906
2020-02-08,5966
2020-02-09,921
2020-02-10,7502
2020-02-11,2218
2020-02-12,5456
2020-02-13,2809
2020-02-14,7913
2020-02-15,3924
2020-02-16,9931
2020-02-17,1740
2020-02-18,5044
2020-02-19,1280
2020-02-20,8694
2020-02-21,7956
2020-02-22,161
2020-02-23,1508
2020-02-24,2421
2020-02-25,1612
2020-02-26,4299
2020-02-27,2100
2020-02-28,2240
2020-02-29,9231
2020-03-01,554
2020-03-02,6660
2020-03-03,5062
2020-03-04,4192
2020-03-05,2354
2020-03-06,386
2020-03-07,4163
2020-03-08,3487
2020-03-09,9446
2020-03-10,947
2020-03-11,9913
2020-03-12,5312
2020-03-13,7842
2020-03-14,8398
2020-03-15,7742
2020-03-16,784
2020-03-17,5374
2020-03-18,8968
2020-03-19,8663
2020-03-20,7853
2020-03-21,8911
2020-03-22,5169
2020-03-23,2319
2020-03-24,6642
2020-03-25,9231
2020-03-26,9942
2020-03-27,6453
2020-03-28,9623
2020-03-29,8828
2020-03-30,3626
2020-03-31,5621
2020-04-01,4122
2020-04-02,4160
2020-04-03,4183
2020-04-04,2952
2020-04-05,1162
2020-04-06,3050
2020-04-07,2768
2020-04-08,4191
2020-04-09,4865
2020-04-10,6051
2020-04-11,3000
2020-04-12,2981
2020-04-13,2754
2020-04-14,3536
2020-04-15,6940
2020-04-16,9365
2020-04-17,4523
2020-04-18,7811
2020-04-19,161
2020-04-20,5598
2020-04-21,7999
2020-04-22,8956
2020-04-23,9597
2020-04-24,8578
2020-04-25,3077
2020-04-26,148
2020-04-27,3870
2020-04-28,9718
2020-04-29,5574
2020-04-30,2284
2020-05-01,483
2020-05-02,6266
2020-05-03,4276
2020-05-04,9116
2020-05-05,5889
2020-05-06,7636
2020-05-07,2345
2020-05-08,2956
2020-05-09,330
2020-05-10,8037
2020-05-11,8171
2020-05-12,691
2020-05-13,3657
2020-05-14,6337
2020-05-15,2674
2020-05-16,3559
2020-05-17,7781
2020-05-18,167
2020-05-19,4411
2020-05-20,4860
2020-05-21,5061
2020-05-22,5471
2020-05-23,1175
2020-05-24,2210
2020-05-25,637
2020-05-26,755
2020-05-27,92
2020-05-28,4811
2020-05-29,9774
2020-05-30,7281
2020-05-31,3405
2020-06-01,5059
2020-06-02,8241
2020-06-03,4491
2020-06-04,7946
2020-06-05,4095
2020-06-06,9654
2020-06-07,7201
2020-06-08,2584
2020-06-09,1983
2020-06-10,6917
2020-06-11,6643
2020-06-12,9762
2020-06-13,2235
2020-06-14,4172
2020-06-15,970
2020-06-16,7901
2020-06-17,6078
2020-06-18,2302
2020-06-19,9932
2020-06-20,7698
2020-06-21,3446
2020-06-22,8783
2020-06-23,5653
2020-06-24,5663
2020-06-25,2744
2020-06-26,5195
2020-06-27,2983
2020-06-28,3008
2020-06-29,6412
2020-06-30,5650
2020-07-01,8442
2020-07-02,1710
2020-07-03,6548
2020-07-04,1449
2020-07-05,6426
2020-07-06,3271
2020-07-07,660
2020-07-08,4101
2020-07-09,2344
2020-07-10,4815
2020-07-11,8564
2020-07-12,2942
2020-07-13,8426
2020-07-14,4033
2020-07-15,1681
2020-07-16,8928
2020-07-17,7564
2020-07-18,548
2020-07-19,3164
2020-07-20,7422
2020-07-21,225
2020-07-22,9780
2020-07-23,2910
2020-07-24,7317
2020-07-25,1887
2020-07-26,8219
2020-07-27,4701
2020-07-28,4260
2020-07-29,2500
2020-07-30,4854
2020-07-31,3617
2020-08-01,7415
2020-08-02,4861
2020-08-03,8987
2020-08-04,4046
2020-08-05,5226
2020-08-06,7363
2020-08-07,1169
2020-08-08,6709
2020-08-09,4832
2020-08-10,9432
2020-08-11,3875
2020-08-12,672
2020-08-13,3685
2020-08-14,2552
2020-08-15,6449
2020-08-16,8917
2020-08-17,5489
2020-08-18,5153
2020-08-19,8551
2020-08-20,660
2020-08-21,4647
2020-08-22,3400
2020-08-23,9878
2020-08-24,8698
2020-08-25,5008
2020-08-26,4106
2020-08-27,9061
2020-08-28,1911
2020-08-29,4086
2020-08-30,1601
2020-08-31,3478
2020-09-01,8410
2020-09-02,1736
2020-09-03,7462
2020-09-04,671
2020-09-05,8465
2020-09-06,2323
2020-09-07,6465
2020-09-08,9644
2020-09-09,6219
2020-09-10,1913
2020-09-11,8952
2020-09-12,8509
2020-09-13,1478
2020-09-14,7010
2020-09-15,4395
2020-09-16,9998
2020-09-17,6094
2020-09-18,2070
2020-09-19,8251
2020-09-20,6036
2020-09-21,6515
2020-09-22,6382
2020-09-23,4690
2020-09-24,2218
2020-09-25,9227
2020-09-26,2823
2020-09-27,4251
2020-09-28,1767
2020-09-29,4487
2020-09-30,791
2020-10-01,2468
2020-10-02,4642
2020-10-03,6146
2020-10-04,6442
2020-10-05,1403
2020-10-06,4222
2020-10-07,2476
2020-10-08,1226
2020-10-09,1578
2020-10-10,6641
2020-10-11,9921
2020-10-12,9099
2020-10-13,1397
2020-10-14,3052
2020-10-15,5242
2020-10-16,1923
2020-10-17,2390
2020-10-18,1040
2020-10-19,7886
2020-10-20,8657
2020-10-21,4645
2020-10-22,3669
2020-10-23,2265
2020-10-24,4487
2020-10-25,9760
2020-10-26,3777
2020-10-27,3966
2020-10-28,8649
2020-10-29,6186
2020-10-30,1645
2020-10-31,7761
2020-11-01,3910
2020-11-02,2113
2020-11-03,8715
2020-11-04,9323
2020-11-05,2833
2020-11-06,4374
2020-11-07,1122
2020-11-08,55
2020-11-09,3812
2020-11-10,8606
2020-11-11,3741
2020-11-12,9439
2020-11-13,6441
2020-11-14,2793
2020-11-15,7296
2020-11-16,3211
2020-11-17,577
2020-11-18,154
2020-11-19,7610
2020-11-20,1286
2020-11-21,808
2020-11-22,4427
2020-11-23,7851
2020-11-24,6909
2020-11-25,2976
2020-11-26,1860
2020-11-27,9593
2020-11-28,6991
2020-11-29,2631
2020-11-30,1168
2020-12-01,7719
2020-12-02,267
2020-12-03,9730
2020-12-04,5666
2020-12-05,7175
2020-12-06,7925
2020-12-07,526
2020-12-08,4615
2020-12-09,8825
2020-12-10,5246
2020-12-11,9063
2020-12-12,2913
2020-12-13,2449
2020-12-14,5480
2020-12-15,2561
2020-12-16,6752
2020-12-17,3468
2020-12-18,1495
2020-12-19,3164
2020-12-20,4917
2020-12-21,3989
2020-12-22,796
2020-12-23,4505
2020-12-24,2260
2020-12-25,1079
2020-12-26,8253
2020-12-27,4895
2020-12-28,6986
2020-12-29,9693
2020-12-30,5322
2020-12-31,9638
2021-01-01,7914
2021-01-02,7018
2021-01-03,3124
2021-01-04,2622
2021-01-05,3638
2021-01-06,5850
2021-01-07,3278
2021-01-08,7422
2021-01-09,5299
2021-01-10,6440
2021-01-11,3272
2021-01-12,7157
2021-01-13,2486
2021-01-14,2239
2021-01-15,8525
2021-01-16,6578
2021-01-17,7363
2021-01-18,2649
2021-01-19,3273
2021-01-20,8999
2021-01-21,2908
2021-01-22,7648
2021-01-23,4288
2021-01-24,7500
2021-01-25,7638
2021-01-26,755
2021-01-27,2986
2021-01-28,1085
2021-01-29,3284
2021-01-30,556
2021-01-31,8347
2021-02-01,1729
2021-02-02,928
2021-02-03,1472
2021-02-04,6112
2021-02-05,1139
2021-02-06,9052
2021-02-07,968
2021-02-08,6410
2021-02-09,6773
2021-02-10,4797
2021-02-11,6984
2021-02-12,3420
2021-02-13,4417
2021-02-14,9007
2021-02-15,3502
2021-02-16,6683
2021-02-17,4444
2021-02-18,990
2021-02-19,6862
2021-02-20,7497
2021-02-21,7693
2021-02-22,1799
2021-02-23,9839
2021-02-24,4184
2021-02-25,6619
2021-02-26,9794
2021-02-27,1543
2021-02-28,4527
2021-03-01,1831
2021-03-02,7707
2021-03-03,1840
2021-03-04,3088
2021-03-05,18
2021-03-06,4537
2021-03-07,363
2021-03-08,6235
2021-03-09,9139
2021-03-10,6351
2021-03-11,165
2021-03-12,6254
2021-03-13,1951
2021-03-14,275
2021-03-15,8851
2021-03-16,2895
2021-03-17,7885
2021-03-18,2971
2021-03-19,9481
2021-03-20,1115
2021-03-21,1056
2021-03-22,8222
2021-03-23,214
2021-03-24,2908
2021-03-25,8082
2021-03-26,3366
2021-03-27,9393
2021-03-28,431
2021-03-29,3140
2021-03-30,1934
2021-03-31,6394
2021-04-01,7063
2021-04-02,3480
2021-04-03,8364
2021-04-04,2819
2021-04-05,2277
2021-04-06,6294
2021-04-07,7496
2021-04-08,4722
2021-04-09,92
2021-04-10,8549
2021-04-11,4382
2021-04-12,336
2021-04-13,2566
2021-04-14,9340
2021-04-15,5989
2021-04-16,7393
2021-04-17,8757
2021-04-18,2563
2021-04-19,2916
2021-04-20,9835
2021-04-21,8258
2021-04-22,5786
2021-04-23,2891
2021-04-24,2829
2021-04-25,5449
2021-04-26,1390
2021-04-27,6766
2021-04-28,7729
2021-04-29,7006
2021-04-30,638
2021-05-01,3516
2021-05-02,1309
2021-05-03,8985
2021-05-04,1093
2021-05-05,3904
2021-05-06,6709
2021-05-07,5239
2021-05-08,4155
2021-05-09,1983
2021-05-10,119
2021-05-11,3123
2021-05-12,6125
2021-05-13,9047
2021-05-14,6646
2021-05-15,2228
2021-05-16,5624
2021-05-17,7931
2021-05-18,4999
2021-05-19,1734
2021-05-20,4704
2021-05-21,5250
2021-05-22,8160
2021-05-23,7881
2021-05-24,8364
2021-05-25,2490
2021-05-26,9498
2021-05-27,9229
2021-05-28,6071
2021-05-29,2024
2021-05-30,9782
2021-05-31,9212
2021-06-01,3322
2021-06-02,3573
2021-06-03,1349
2021-06-04,151
2021-06-05,7055
2021-06-06,4152
2021-06-07,3605
2021-06-08,6996
2021-06-09,7040
2021-06-10,1157
2021-06-11,549
2021-06-12,3923
2021-06-13,5048
2021-06-14,2869
2021-06-15,8085
2021-06-16,3761
2021-06-17,2208
2021-06-18,9693
2021-06-19,3265
2021-06-20,2261
2021-06-21,9959
2021-06-22,4965
2021-06-23,7138
2021-06-24,6357
2021-06-25,624
2021-06-26,7792
2021-06-27,3954
2021-06-28,9066
2021-06-29,6895
2021-06-30,1658
2021-07-01,2964
2021-07-02,5502
2021-07-03,4846
2021-07-04,5307
2021-07-05,9685
2021-07-06,7581
2021-07-07,1793
2021-07-08,9544
2021-07-09,6904
2021-07-10,5835
2021-07-11,6996
2021-07-12,5163
2021-07-13,5534
2021-07-14,6683
2021-07-15,8413
2021-07-16,2223
2021-07-17,8747
2021-07-18,2245
2021-07-19,1734
2021-07-20,9581
2021-07-21,4865
2021-07-22,358
2021-07-23,2958
2021-07-24,6524
2021-07-25,1541
2021-07-26,8685
2021-07-27,7949
2021-07-28,5356
2021-07-29,2825
2021-07-30,8163
2021-07-31,4075
2021-08-01,2293
2021-08-02,4225
2021-08-03,4142
2021-08-04,1130
2021-08-05,456
2021-08-06,8593
2021-08-07,7917
2021-08-08,2805
2021-08-09,4480
2021-08-10,9289
2021-08-11,2317
2021-08-12,3716
2021-08-13,3346
2021-08-14,2343
2021-08-15,1922
2021-08-16,3215
2021-08-17,3241
2021-08-18,672
2021-08-19,2088
2021-08-20,677
2021-08-21,796
2021-08-22,5017
2021-08-23,771
2021-08-24,8286
2021-08-25,5435
2021-08-26,5939
2021-08-27,5402
2021-08-28,1129
2021-08-29,2887
2021-08-30,2932
2021-08-31,3347
2021-09-01,4686
2021-09-02,6615
2021-09-03,7155
2021-09-04,710
2021-09-05,6815
2021-09-06,5961
2021-09-07,1188
2021-09-08,8538
2021-09-09,1963
2021-09-10,9059
2021-09-11,6232
2021-09-12,4707
2021-09-13,1387
2021-09-14,8524
2021-09-15,6996
2021-09-16,2140
2021-09-17,6754
2021-09-18,8311
2021-09-19,7524
2021-09-20,8389
2021-09-21,5797
2021-09-22,2988
2021-09-23,4880
2021-09-24,1758
2021-09-25,8545
2021-09-26,8420
2021-09-27,8452
2021-09-28,2425
2021-09-29,5167
2021-09-30,7347
2021-10-01,6377
2021-10-02,9229
2021-10-03,9137
2021-10-04,2234
2021-10-05,651
2021-10-06,9956
2021-10-07,8389
2021-10-08,160
2021-10-09,4091
2021-10-10,8463
2021-10-11,9175
2021-10-12,7229
2021-10-13,1210
2021-10-14,7053
2021-10-15,7373
2021-10-16,2288
2021-10-17,562
2021-10-18,9933
2021-10-19,16
2021-10-20,8252
2021-10-21,3100
2021-10-22,1367
2021-10-23,3330
2021-10-24,1591
2021-10-25,2920
2021-10-26,3267
2021-10-27,7658
2021-10-28,1687
2021-10-29,5855
2021-10-30,5844
2021-10-31,9638
2021-11-01,2817
2021-11-02,51
2021-11-03,2667
2021-11-04,191
2021-11-05,6614
2021-11-06,3875
2021-11-07,570
2021-11-08,2761
2021-11-09,3013
2021-11-10,1349
2021-11-11,1955
2021-11-12,9096
2021-11-13,1260
2021-11-14,5667
2021-11-15,5985
2021-11-16,3768
2021-11-17,2185
2021-11-18,8207
2021-11-19,2132
2021-11-20,1942
2021-11-21,4251
2021-11-22,1201
2021-11-23,4398
2021-11-24,610
2021-11-25,5920
2021-11-26,4317
2021-11-27,8179
2021-11-28,9293
2021-11-29,8708
2021-11-30,4632
2021-12-01,3821
2021-12-02,1405
2021-12-03,9534
2021-12-04,775
2021-12-05,9907
2021-12-06,8265
2021-12-07,7317
2021-12-08,5867
2021-12-09,709
2021-12-10,6869
2021-12-11,2966
2021-12-12,6015
2021-12-13,3803
2021-12-14,4257
2021-12-15,3111
2021-12-16,6706
2021-12-17,7207
2021-12-18,1423
2021-12-19,5079
2021-12-20,9411
2021-12-21,3170
2021-12-22,3203
2021-12-23,4497
2021-12-24,2519
2021-12-25,8207
2021-12-26,6585
2021-12-27,1718
2021-12-28,3009
2021-12-29,3989
2021-12-30,8929
2021-12-31,504
2022-01-01,6154
2022-01-02,1639
2022-01-03,2441
2022-01-04,7631
2022-01-05,5754
2022-01-06,3229
2022-01-07,2748
2022-01-08,2128
2022-01-09,5917
2022-01-10,6571
2022-01-11,1324
2022-01-12,4640
2022-01-13,5902
2022-01-14,33
2022-01-15,2678
2022-01-16,9049
2022-01-17,9795
2022-01-18,6705
2022-01-19,9360
2022-01-20,9430
2022-01-21,7694
2022-01-22,5834
2022-01-23,7674
2022-01-24,2181
2022-01-25,9171
2022-01-26,4970
2022-01-27,611
2022-01-28,7741
2022-01-29,5716
2022-01-30,4623
2022-01-31,9013
2022-02-01,1304
2022-02-02,3407
2022-02-03,8892
2022-02-04,4265
2022-02-05,1888
2022-02-06,1187
2022-02-07,7929
2022-02-08,4200
2022-02-09,6043
2022-02-10,9912
2022-02-11,5046
2022-02-12,4030
2022-02-13,8687
2022-02-14,7581
2022-02-15,9693
2022-02-16,6407
2022-02-17,7610
2022-02-18,8660
2022-02-19,5295
2022-02-20,7529
2022-02-21,7054
2022-02-22,2029
2022-02-23,2481
2022-02-24,9918
2022-02-25,4391
2022-02-26,1601
2022-02-27,5536
2022-02-28,4357
2022-03-01,5906
2022-03-02,3509
2022-03-03,5593
2022-03-04,4070
2022-03-05,116
2022-03-06,4026
2022-03-07,2785
2022-03-08,9631
2022-03-09,6572
2022-03-10,4279
2022-03-11,4594
2022-03-12,4573
2022-03-13,8580
2022-03-14,6947
2022-03-15,7683
2022-03-16,415
2022-03-17,6802
2022-03-18,2934
2022-03-19,2639
2022-03-20,8816
2022-03-21,7718
2022-03-22,1795
2022-03-23,8220
2022-03-24,4914
2022-03-25,9704
2022-03-26,7354
2022-03-27,4264
2022-03-28,1451
2022-03-29,8280
2022-03-30,1956
2022-03-31,6345
2022-04-01,9904
2022-04-02,8451
2022-04-03,7006
2022-04-04,2670
2022-04-05,4880
2022-04-06,3121
2022-04-07,5523
2022-04-08,1873
2022-04-09,2997
2022-04-10,933
2022-04-11,9946
2022-04-12,5889
2022-04-13,3811
2022-04-14,3542
2022-04-15,7200
2022-04-16,7757
2022-04-17,4123
2022-04-18,5019
2022-04-19,4374
2022-04-20,8822
2022-04-21,8572
2022-04-22,7582
2022-04-23,3537
2022-04-24,8637
2022-04-25,341
2022-04-26,6707
2022-04-27,548
2022-04-28,2315
2022-04-29,9106
2022-04-30,1888
2022-05-01,3844
2022-05-02,65
2022-05-03,2030
2022-05-04,2161
2022-05-05,7045
2022-05-06,9260
2022-05-07,75
2022-05-08,1050
2022-05-09,5755
2022-05-10,29
2022-05-11,6222
2022-05-12,3298
2022-05-13,9977
2022-05-14,5793
2022-05-15,6463
2022-05-16,9935
2022-05-17,3020
2022-05-18,7474
2022-05-19,9162
2022-05-20,4245
2022-05-21,7913
2022-05-22,5116
2022-05-23,7283
2022-05-24,7630
2022-05-25,1942
2022-05-26,4645
2022-05-27,5256
2022-05-28,3909
2022-05-29,2348
2022-05-30,4115
2022-05-31,6448
2022-06-01,4596
2022-06-02,2079
2022-06-03,6220
2022-06-04,8360
2022-06-05,52
2022-06-06,4212
2022-06-07,6901
2022-06-08,6021
2022-06-09,2634
2022-06-10,2609
2022-06-11,6767
2022-06-12,7951
2022-06-13,6215
2022-06-14,5732
2022-06-15,9901
2022-06-16,8813
2022-06-17,5286
2022-06-18,4152
2022-06-19,4544
2022-06-20,7324
2022-06-21,9601
2022-06-22,1169
2022-06-23,162
2022-06-24,6194
2022-06-25,3413
2022-06-26,2219
2022-06-27,3958
2022-06-28,9283
2022-06-29,5544
2022-06-30,456
2022-07-01,8320
2022-07-02,3357
2022-07-03,9867
2022-07-04,8961
2022-07-05,9045
2022-07-06,431
2022-07-07,7866
2022-07-08,9023
2022-07-09,2843
2022-07-10,5471
2022-07-11,6399
2022-07-12,9327
2022-07-13,8403
2022-07-14,6018
2022-07-15,3342
2022-07-16,8047
2022-07-17,3688
2022-07-18,1587
2022-07-19,7876
2022-07-20,23
2022-07-21,305
2022-07-22,2924
2022-07-23,2583
2022-07-24,7549
2022-07-25,3511
2022-07-26,5636
2022-07-27,213
2022-07-28,2734
2022-07-29,2320
2022-07-30,1250
2022-07-31,2506
2022-08-01,3814
2022-08-02,4052
2022-08-03,1701
2022-08-04,6426
2022-08-05,3320
2022-08-06,2300
2022-08-07,2223
2022-08-08,8975
2022-08-09,8616
2022-08-10,9688
2022-08-11,2331
2022-08-12,10000
2022-08-13,530
2022-08-14,8003
2022-08-15,7628
2022-08-16,7895
2022-08-17,324
2022-08-18,164
2022-08-19,4182
2022-08-20,7158
2022-08-21,1916
2022-08-22,6359
2022-08-23,8390
2022-08-24,7503
2022-08-25,562
2022-08-26,4793
2022-08-27,9163
2022-08-28,7392
2022-08-29,1967
2022-08-30,7137
2022-08-31,4297
2022-09-01,6000
2022-09-02,7224
2022-09-03,4943
2022-09-04,7623
2022-09-05,8924
2022-09-06,37
2022-09-07,4179
2022-09-08,5911
2022-09-09,921
2022-09-10,2105
2022-09-11,6720
2022-09-12,6161
2022-09-13,5210
2022-09-14,2602
2022-09-15,8854
2022-09-16,2552
2022-09-17,7388
2022-09-18,3449
2022-09-19,1495
2022-09-20,9822
2022-09-21,2949
2022-09-22,562
2022-09-23,1793
2022-09-24,2644
2022-09-25,6122
2022-09-26,5456
2022-09-27,9764
2022-09-28,5348
2022-09-29,3941
2022-09-30,7895
2022-10-01,5259
2022-10-02,866
2022-10-03,6671
2022-10-04,3338
2022-10-05,4983
2022-10-06,5403
2022-10-07,488
2022-10-08,2415
2022-10-09,2296
2022-10-10,7416
2022-10-11,4004
2022-10-12,3722
2022-10-13,844
2022-10-14,9028
2022-10-15,608
2022-10-16,4067
2022-10-17,810
2022-10-18,3383
2022-10-19,1397
2022-10-20,9951
2022-10-21,1760
2022-10-22,6800
2022-10-23,4841
2022-10-24,7789
2022-10-25,2681
2022-10-26,1065
2022-10-27,7534
2022-10-28,8403
2022-10-29,1613
2022-10-30,7363
2022-10-31,2192
2022-11-01,5315
2022-11-02,6004
2022-11-03,691
2022-11-04,3454
2022-11-05,90
2022-11-06,1795
2022-11-07,1972
2022-11-08,2061
2022-11-09,9901
2022-11-10,4797
2022-11-11,3203
2022-11-12,9188
